county,fips,name,area_sqmi,land_area_acres,population,housing_units,households,svi,socioeconomic_svi,household_svi,racial_svi,housing_transport_svi,median_household_income,pc_poverty,pc_age_17_and_below,pc_latino,pc_limited_english,pc_born_central_america,median_household_income_relative,pc_age_17_and_below_relative,pc_poverty_relative,pc_latino_relative,pc_limited_english_relative,pc_born_central_america_relative,pounds_13d_2018_2022,pounds_chloropicrin_2018_2022,pounds_13d_per_100_acres_2018_2022,pounds_chloropicrin_per_100_acres_2018_2022,pounds_13d_per_1000_people_2018_2022,pounds_chloropicrin_per_1000_people_2018_2022
Solano County,06095250501,Census Tract 2505.01; Solano County; California,0.50184958807,321.183372425,2473,948,905,0.3533,0.4928,0.3792,0.3772,0.2,110250,6.4,19.3,31.7,4.1,4.5,1.1996082911702302,1.5950413223140496,0.28699551569506726,0.7984886649874054,0.46067415730337075,0.37190082644628103,,,,,,
Solano County,06095250502,Census Tract 2505.02; Solano County; California,0.721818075102,461.96304460500005,3250,1411,1357,0.3272,0.5488,0.3135,0.5133,0.1014,104145,12.2,19,14.5,0.6,1,1.133181002121756,1.5702479338842976,0.5470852017937219,0.36523929471032746,0.06741573033707865,0.08264462809917356,,,,,,
Solano County,06095250601,Census Tract 2506.01; Solano County; California,0.923752123816,591.20068934,5270,1553,1473,0.6976,0.7364,0.7622,0.7737,0.4073,84668,23.6,27.6,53.3,4.9,13.8,0.921255644415429,2.2809917355371905,1.0582959641255605,1.3425692695214104,0.550561797752809,1.1404958677685952,,,,,,
Solano County,06095250604,Census Tract 2506.04; Solano County; California,0.797261633698,510.24686739500004,4057,1543,1487,0.2846,0.4574,0.3228,0.6831,0.0753,104805,5.5,15.6,19.8,10,3.9,1.1403623306675372,1.2892561983471074,0.24663677130044842,0.49874055415617125,1.1235955056179774,0.32231404958677684,,,,,,
Solano County,06095250605,Census Tract 2506.05; Solano County; California,1.177440056814,753.560782485,3969,1470,1470,0.1862,0.3327,0.0945,0.5348,0.1619,133125,4.1,16.3,20.7,0,3.2,1.4485066100865023,1.347107438016529,0.18385650224215244,0.521410579345088,0,0.2644628099173554,,,,,,
Solano County,06095250701,Census Tract 2507.01; Solano County; California,0.850776529204,544.49636171,3579,1301,1255,0.7843,0.7895,0.7167,0.7669,0.6534,54634,23.2,25.2,59.3,8.3,27,0.5944616723790871,2.0826446280991737,1.0403587443946187,1.4937027707808563,0.9325842696629214,2.231404958677686,,,,,,
Solano County,06095250801,Census Tract 2508.01; Solano County; California,14.937858578984,9560.21865766,4232,1942,1724,0.4962,0.3616,0.2208,0.5531,0.8386,103816,7.8,10.5,25.7,2.2,4.5,1.1296012186496927,0.8677685950413223,0.3497757847533632,0.6473551637279596,0.24719101123595508,0.37190082644628103,,,,,,
Solano County,06095250900,Census Tract 2509; Solano County; California,0.313822161192,200.84595558,2911,1775,1500,0.9305,0.9123,0.9511,0.7369,0.7678,39709,45.9,22.2,12.4,7.5,1.8,0.4320657200369947,1.8347107438016528,2.0582959641255605,0.3123425692695214,0.8426966292134831,0.1487603305785124,,,,,,
Solano County,06095251000,Census Tract 2510; Solano County; California,0.280587659338,179.57589849500002,2206,1277,1123,0.5448,0.7434,0.5681,0.5516,0.1862,53607,17.4,20.6,30,2.2,5.4,0.5832870899298188,1.7024793388429753,0.780269058295964,0.7556675062972291,0.24719101123595508,0.44628099173553726,,,,,,
Solano County,06095251100,Census Tract 2511; Solano County; California,0.407863094822,261.03208490500003,3015,1220,1082,0.6497,0.5961,0.5998,0.6345,0.6511,77870,20.3,17,48.9,9,25.1,0.847287960393885,1.4049586776859504,0.9103139013452914,1.2317380352644836,1.0112359550561798,2.074380165289256,,,,,,
