cds_code,school,district,enroll_total,pounds_0.25,pounds_1
51714640113134,Riverbend Elementary,Yuba City Unified,1004,6751.156980803947,22530.421573818214
10622571033729,Oasis Continuation High,Kingsburg Joint Union High,55,822.1311594177677,22373.211777420714
27661420132407,Boronda Elementary,Salinas City Elementary,272,530.3079846901055,21980.98189720872
51714645130018,Albert Powell Continuation,Yuba City Unified,90,46.78894043349165,21964.73876972701
39685856042170,Live Oak Elementary,Lodi Unified,283,1007.6125222019032,21949.538356487392
44104470136572,Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,119,79.55592933584916,21827.95715169638
10622400113142,Ronald W. Reagan Elementary,Kingsburg Elementary Charter,622,364.1806892440457,21816.63488870131
54722560110940,Cottonwood Creek Elementary,Visalia Unified,639,2757.8076978357276,21697.01677150375
50711006052559,Hickman Elementary,Hickman Community Charter,290,1446.1884809317173,20992.257119153266
50711006112627,Hickman Charter,Hickman Community Charter,608,1446.1884809317173,20992.257119153266
50711006116388,Hickman Middle,Hickman Community Charter,158,1446.1884809317173,20992.257119153266
39686503935756,Ripon High,Ripon Unified,1037,,20518.056975328385
39685026070957,El Portal Middle,Escalon Unified,571,1450.665003767904,20492.4999585742
52715486053532,Gerber Elementary,Gerber Union Elementary,409,2449.827223440811,20428.464396574327
56725386055289,Elm Street Elementary,Oxnard,503,,20341.76263048578
54722310127621,Alpine Vista,Tulare City,1394,,20301.896312622575
54105460135459,Blue Oak Academy,Tulare County Office of Education,313,2665.7752297212633,20275.60374515642
56725536120620,University Preparation Charter School at CSU Channel Islands,Pleasant Valley,685,,20111.70115135667
50710430107128,Whitmore Charter School of Art & Technology,Ceres Unified,419,,19999.602370433782
50710430107136,Whitmore Charter High,Ceres Unified,112,,19999.602370433782
27660350136796,Arroyo Seco Academy,Greenfield Union Elementary,637,629.629732881614,19998.457220415276
56725616118061,Rio Rosales,Rio Elementary,462,,19996.18302575987
42692606045744,Ralph Dunlap Elementary,Orcutt Union Elementary,469,,19968.835374977596
44104474430252,Pacific Collegiate Charter,Santa Cruz County Office of Education,556,,19909.133338054977
10621581032150,Fowler High,Fowler Unified,828,46.77292962511632,19847.783211386806
39686506042477,Ripon Elementary,Ripon Unified,453,,19824.06292884144
10621581031954,Fowler Academy Continuation,Fowler Unified,18,529.5111179323192,19743.60156253862
10622571033695,Kingsburg High,Kingsburg Joint Union High,1087,,19727.398001438123
10767781038306,Washington High,Washington Unified,1252,624.3645105948017,19664.783611449755
15637196009963,Pond Elementary,Pond Union Elementary,178,1807.1962553288286,19288.745925201907
44697996049670,Calabasas Elementary,Pajaro Valley Unified,572,235.76036705032254,19138.978593079595
54719856054134,Liberty Elementary,Liberty Elementary,749,,19091.73558108132
10624146007173,Lone Star Elementary,Sanger Unified,569,2831.099353442999,19077.858117071755
04614996003198,Manzanita Elementary,Manzanita Elementary,291,1455.3289032799535,18925.6959396854
44697996049829,Alianza Charter,Pajaro Valley Unified,664,1903.502328314065,18704.988121657123
44697996119077,Watsonville Charter School of the Arts,Pajaro Valley Unified,393,1903.502328314065,18704.988121657123
54721816054407,Sunnyside Elementary,Sunnyside Union Elementary,344,2022.0396607801747,18604.625552298698
54755316053961,Grand View Elementary,Dinuba Unified,335,636.7731101752487,18582.37664018368
24657486025522,Selma Herndon Elementary,Livingston Union,628,,18505.680089948233
10767780108993,Easton Community Day,Washington Unified,,5.275498683838795,18394.061551601437
10767780122473,Elm High,Washington Unified,32,5.275498683838795,18394.061551601437
10767781038298,Easton Continuation High,Washington Unified,23,5.275498683838795,18394.061551601437
50105045030085,Stanislaus Military Academy at Teel,Stanislaus County Office of Education,76,1475.819716720479,18387.733935972265
50710766052518,Empire Elementary,Empire Union Elementary,363,1475.819716720479,18387.733935972265
50711750120212,Aspire Vanguard College Preparatory Academy,Modesto City High,602,1475.819716720479,18387.733935972265
04755070433953,Gridley High,Gridley Unified,668,1267.3650493789573,18315.142062982766
