cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_13d_intersection
40687596043012,Active,No,Traditional,Elementary,Public,Branch Elementary,Lucia Mar Unified,San Luis Obispo,970 School Road,Arroyo Grande,CA,No,1,K-6,K-6,3143.844231911386
51714646053359,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Barry Elementary,Yuba City Unified,Sutter,1255 Barry Road,Yuba City,CA,No,1,K-8,K-8,3136.488011946429
56725386055370,Active,No,Traditional,Elementary,Public,Rose Avenue Elementary,Oxnard,Ventura,220 South Driskill Street,Oxnard,CA,No,1,K-5,K-5,3130.779890584756
34322765637780,Active,No,Youth Authority School,High School,Public,Mary B. Perry High,California Education Authority (CEA) Headquarters,Ventura,3100 Wright Road,Camarillo,CA,No,1,9-12,9-12,3125.998603550172
39685933935111,Active,No,Continuation School,High School,Public,Calla High,Manteca Unified,San Joaquin,130 South Austin Road,Manteca,CA,No,1,9-12,11-12,3066.138877031221
27738256026413,Active,No,Traditional,Elementary,Public,Elkhorn Elementary,North Monterey County Unified,Monterey,2235 Elkhorn Road,Castroville,CA,No,1,K-6,K-6,3023.2336622302223
50712176052922,Active,No,Traditional,Elementary,Public,Grayson Elementary,Patterson Joint Unified,Stanislaus,301 Howard Road,Westley,CA,No,1,K-5,K-5,2836.9775729389826
10101081030337,Active,No,Juvenile Court School,Intermediate/Middle/Junior High - High Combination,Public,Alice M. Worsley,Fresno County Office of Education,Fresno,3333 American Avenue,Fresno,CA,No,1,K-12,7-12,2836.634931283783
10624146007173,Active,No,Traditional,Elementary,Public,Lone Star Elementary,Sanger Unified,Fresno,2617 South Fowler Avenue,Fresno,CA,No,1,P-6,K-6,2831.099353442999
50710840120089,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gratton Charter,Gratton Elementary,Stanislaus,4500 South Gratton Road,Denair,CA,Yes,2,K-8,K-8,2821.1590640337454
50710846052534,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gratton Elementary,Gratton Elementary,Stanislaus,4500 South Gratton Road,Denair,CA,Yes,2,K-8,K-8,2821.1590640337454
15638346010235,Active,No,Traditional,Elementary,Public,Vineland Elementary,Vineland Elementary,Kern,14713 Weedpatch Highway,Bakersfield,CA,No,1,K-4,K-4,2817.9447587151953
56725386100333,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Lemonwood Elementary,Oxnard,Ventura,2001 San Mateo Place,Oxnard,CA,No,1,K-8,K-8,2766.5299088443426
54722560110940,Active,No,Traditional,Elementary,Public,Cottonwood Creek Elementary,Visalia Unified,Tulare,4222 South Dans Street,Visalia,CA,No,1,K-6,K-6,2757.8076978357276
54105460135459,Active,Yes,Traditional,Elementary,Public,Blue Oak Academy,Tulare County Office of Education,Tulare,28050 Road 148,Visalia,CA,No,1,K-5,K-4,2665.7752297212633
10624306007280,Active,No,Traditional,Elementary,Public,Indianola Elementary,Selma Unified,Fresno,11524 East Dinuba Avenue,Selma,CA,No,1,K-6,K-6,2636.6631945856416
50710430108076,Active,No,Traditional,High School,Public,Central Valley High,Ceres Unified,Stanislaus,4033 Central Avenue,Ceres,CA,No,1,9-12,9-12,2630.769184394626
10619946005730,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Alvina Elementary Charter,Alvina Elementary,Fresno,295 West Saginaw Avenue,Caruthers,CA,No,1,K-8,K-8,2597.14547393724
10623566007025,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Pacific Union Elementary,Pacific Union Elementary,Fresno,2065 East Bowles Avenue,Fresno,CA,No,1,K-8,K-8,2586.8808395291762
10739656006910,Active,No,Traditional,Elementary,Public,Madison Elementary,Central Unified,Fresno,330 South Brawley Avenue,Fresno,CA,No,1,K-6,K-6,2576.7356766840935
24656496025381,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Ballico-Cressey Community Charter,Ballico-Cressey Elementary,Merced,11818 Gregg Street,Ballico,CA,No,1,1-8,1-8,2566.0796847258175
39685936042378,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Nile Garden Elementary,Manteca Unified,San Joaquin,5700 East Nile Road,Manteca,CA,No,1,K-8,K-8,2556.750166716364
51714640107722,Active,No,Traditional,High School,Public,River Valley High,Yuba City Unified,Sutter,801 El Margarita Road,Yuba City,CA,No,1,9-12,9-12,2514.289093634315
51713816053250,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Franklin Elementary,Franklin Elementary,Sutter,332 North Township Road,Yuba City,CA,No,1,K-8,K-8,2502.724835948249
52715486053532,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gerber Elementary,Gerber Union Elementary,Tehama,23014 Chard Avenue,Gerber,CA,No,1,K-8,K-8,2449.827223440811
54722236054449,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Traver Elementary,Traver Joint Elementary,Tulare,36736 Canal Drive,Traver,CA,No,1,K-8,K-8,2365.1659499999746
10622656088959,Active,No,Traditional,Elementary,Public,Great Western Elementary,Kings Canyon Joint Unified,Fresno,5051 South Frankwood Avenue,Reedley,CA,No,1,P-5,K-5,2354.6861057299075
40687590110486,Active,No,Traditional,Elementary,Public,Lange (Dorothea) Elementary,Lucia Mar Unified,San Luis Obispo,1661 Via Alta Mesa,Nipomo,CA,No,1,K-6,K-6,2333.297893774524
39685856098057,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Victor Elementary,Lodi Unified,San Joaquin,17670 North Bruella Road,Victor,CA,No,1,K-6,K-8,2297.968195369086
50712666113823,Active,No,Traditional,Elementary,Public,Dena Boer,Salida Union Elementary,Stanislaus,4801 Gold Valley Road,Salida,CA,No,1,K-5,K-5,2280.280668107312
54722560139212,Active,No,Community Day School,Intermediate/Middle/Junior High - High Combination,Public,Creekside Community Day,Visalia Unified,Tulare,31411 Road 160,Visalia,CA,No,1,7-12,7-12,2180.8678029326597
56725126055164,Active,No,Traditional,Elementary,Public,Laguna Vista Elementary,Ocean View,Ventura,5084 Etting Road,Oxnard,CA,No,1,K-5,K-5,2171.6590113911925
44697996117253,Active,No,Traditional,Elementary,Public,Ann Soldo Elementary,Pajaro Valley Unified,Santa Cruz,1140 Menasco Drive,Watsonville,CA,No,1,K-5,K-5,2170.084704408066
37684520118430,Active,No,Alternative School of Choice,High School,Public,Mission Vista High,Vista Unified,San Diego,1306 Melrose Drive,Oceanside,CA,No,1,9-12,9-12,2139.652400883247
